Tropical Shearwater (Indopacific),Puffinus bailloni [dichrous Group],,
Bannerman's/Tropical Shearwater,Puffinus bannermani/bailloni,,
small shearwater sp.,Puffinus sp.,黑白水薙鳥類,
shearwater sp.,Procellariidae sp. (shearwater sp.),水薙鳥類,
procellariid sp.,Procellariidae sp.,未识别的鹱类,
 ,,,
CICONIIFORMES: Ciconiidae,,,
,,,
Black Stork,Ciconia nigra,黑鹳,稀见/偶见
Oriental Stork,Ciconia boyciana,东方白鹳,濒危
 ,,,
SULIFORMES: Fregatidae,,,
,,,
Lesser Frigatebird,Fregata ariel,白斑军舰鸟,
Lesser Frigatebird (Lesser),Fregata ariel ariel/iredalei,白斑军舰鸟（印度洋至太平洋）,
Great Frigatebird,Fregata minor,大军舰鸟,稀见/偶见
frigatebird sp.,Fregata sp.,未识别的军舰鸟,
 ,,,
SULIFORMES: Sulidae,,,
,,,
Red-footed Booby,Sula sula,红脚鲣鸟,
Red-footed Booby (Indopacific),Sula sula rubripes,红脚鲣鸟（印度洋至中太平洋）,
Brown Booby,Sula leucogaster,褐鲣鸟,
Brown Booby (Forster's),Sula leucogaster plotus,褐鲣鸟（印度洋至太平洋中部）,
Cocos Booby,Sula brewsteri,,稀见/偶见
Cocos Booby (Brewster's),Sula brewsteri brewsteri,褐鲣鸟 (brewsteri),稀见/偶见
Brown/Cocos Booby,Sula leucogaster/brewsteri,,
Masked Booby,Sula dactylatra,蓝脸鲣鸟,稀见/偶见
Nazca Booby,Sula granti,橙嘴蓝脸鲣鸟,稀见/偶见
Masked/Nazca Booby,Sula dactylatra/granti,蓝脸鲣鸟/橙嘴蓝脸鲣鸟,稀见/偶见
booby sp.,Sula sp.,未识别的鲣鸟,
 ,,,
SULIFORMES: Phalacrocoracidae,,,
,,,
Pelagic Cormorant,Urile pelagicus,海鸬鹚,
Great Cormorant,Phalacrocorax carbo,普通鸬鹚,
Great Cormorant (Eurasian),Phalacrocorax carbo sinensis/hanedae,普通鸬鹚（欧亚）,
Japanese Cormorant,Phalacrocorax capillatus,暗绿背鸬鹚,
Great/Japanese Cormorant,Phalacrocorax carbo/capillatus,普通鸬鹚/暗绿背鸬鹚,
cormorant sp.,Phalacrocoracidae sp.,未识别的鸬鹚,
 ,,,
PELECANIFORMES: Threskiornithidae,,,
,,,
Black-headed Ibis,Threskiornis melanocephalus,黑头白鹮,稀见/偶见
Crested Ibis,Nipponia nippon,朱鹮,消失 濒危
Eurasian Spoonbill,Platalea leucorodia,白琵鹭,
Black-faced Spoonbill,Platalea minor,黑脸琵鹭,濒危
spoonbill sp.,Platalea sp.,未识别的琵鹭,
 ,,,
PELECANIFORMES: Ardeidae,,,
,,,
Eurasian Bittern,Botaurus stellaris,大麻鳽,
Black Bittern,Botaurus flavicollis,黑鳽,稀见/偶见
Cinnamon Bittern,Botaurus cinnamomeus,栗苇鳽,
Schrenck's Bittern,Botaurus eurhythmus,紫背苇鳽,
Yellow Bittern,Botaurus sinensis,黄苇鳽,
small bittern sp.,Botaurus sp. (small bittern sp.),未识别的Ixobrychus属小型鳽类,
Black-crowned Night Heron,Nycticorax nycticorax,夜鹭,
Black-crowned Night Heron (Eurasian),Nycticorax nycticorax nycticorax,夜鹭（欧亚）,
Japanese Night Heron,Gorsachius goisagi,栗鳽,易危
Pacific Reef-Heron,Egretta sacra,岩鹭,
Chinese Egret,Egretta eulophotes,黄嘴白鹭,易危
Little Egret,Egretta garzetta,白鹭,
Little Egret (Western),Egretta garzetta garzetta,白鹭（广布）,
Striated Heron,Butorides striata,绿鹭,
Striated Heron (Old World),Butorides striata [atricapilla Group],绿鹭（旧大陆）,
Striated/Green Heron,Butorides striata/virescens,绿鹭/美洲绿鹭,
Chinese Pond-Heron,Ardeola bacchus,池鹭,
Eastern Cattle-Egret,Ardea coromanda,牛背鹭,
Western/Eastern Cattle-Egret,Ardea ibis/coromanda,,
Great Egret,Ardea alba,大白鹭,
Great Egret (alba),Ardea alba alba,大白鹭（古北界）,
Great Egret (modesta),Ardea alba modesta,大白鹭（东洋界至澳洲界）,
Medium Egret,Ardea intermedia,中白鹭,
Great/Medium Egret,Ardea alba/intermedia,大白鹭/中白鹭,
Gray Heron,Ardea cinerea,苍鹭,
Gray Heron (Gray),Ardea cinerea cinerea/jouyi,苍鹭（广布）,
Purple Heron,Ardea purpurea,草鹭,稀见/偶见
Purple Heron (Purple),Ardea purpurea [purpurea Group],草鹭（广布）,稀见/偶见
heron sp.,Ardeidae sp.,未识别的鹭科鸟类,
white egret sp.,Egretta/Ardea sp.,未识别的小型白色鹭类,
 ,,,
ACCIPITRIFORMES: Pandionidae,,,
,,,
Osprey,Pandion haliaetus,鹗,
Osprey (Eurasian),Pandion haliaetus haliaetus,鹗（欧亚）,
 ,,,
ACCIPITRIFORMES: Accipitridae,,,
,,,
Oriental Honey-buzzard,Pernis ptilorhynchus,凤头蜂鹰,
Oriental Honey-buzzard (Northern),Pernis ptilorhynchus orientalis,凤头蜂鹰（东北亚）,
European/Oriental Honey-buzzard,Pernis apivorus/ptilorhynchus,鹃头蜂鹰/凤头蜂鹰,
Mountain Hawk-Eagle,Nisaetus nipalensis,鹰雕,
Mountain Hawk-Eagle (orientalis),Nisaetus nipalensis orientalis,,
Golden Eagle,Aquila chrysaetos,金雕,
Besra,Tachyspiza virgata,松雀鹰,
Japanese Sparrowhawk,Tachyspiza gularis,日本松雀鹰,
Besra/Japanese Sparrowhawk,Tachyspiza virgata/gularis,日本松雀鹰/松雀鹰,
Chinese Sparrowhawk,Tachyspiza soloensis,赤腹鹰,
Eurasian Sparrowhawk,Accipiter nisus,雀鹰,
Eurasian Goshawk,Astur gentilis,苍鹰,
Eurasian/American Goshawk,Astur gentilis/atricapillus,,
Accipitrine hawk sp. (former Accipiter sp.),Aerospiza/Tachyspiza/Accipiter/Astur sp.,未识别的Accipiter属鹰,
Eastern Marsh Harrier,Circus spilonotus,白腹鹞,
Eastern Marsh/Papuan Harrier,Circus spilonotus/spilothorax,白腹鹞,
Hen Harrier,Circus cyaneus,白尾鹞,
Hen/Northern Harrier,Circus cyaneus/hudsonius,,
Pied Harrier,Circus melanoleucos,鹊鹞,稀见/偶见
Black Kite,Milvus migrans,黑鸢,
Black Kite (Black-eared),Milvus migrans lineatus/formosanus,黑鸢（东亚，黑耳鸢）,
White-tailed Eagle,Haliaeetus albicilla,白尾海雕,
Steller's Sea-Eagle,Haliaeetus pelagicus,虎头海雕,稀见/偶见 易危
Gray-faced Buzzard,Butastur indicus,灰脸鵟鹰,
Rough-legged Hawk,Buteo lagopus,毛脚鵟,
Common Buzzard,Buteo buteo,普通,
Eastern Buzzard,Buteo japonicus,普通鵟,
Himalayan/Eastern Buzzard,Buteo refectus/japonicus,喜山鵟/普通鵟,
Buteo sp.,Buteo sp.,未识别的鵟,
hawk sp.,Accipitridae sp. (hawk sp.),未识别的鹰类,
eagle sp.,Accipitridae sp. (eagle sp.),未识别的雕类,
 ,,,
STRIGIFORMES: Strigidae,,,
,,,
Collared Scops-Owl,Otus lettia,领角鸮,稀见/偶见
Japanese Scops-Owl,Otus semitorques,北领角鸮（日本角鸮）,
Ryukyu Scops-Owl,Otus elegans,琉球角鸮（兰屿角鸮）,近危
Oriental Scops-Owl,Otus sunia,红角鸮（东方角鸮）,
Oriental Scops-Owl (Northern),Otus sunia [japonicus Group],,
Eurasian Eagle-Owl,Bubo bubo,雕鸮,
Ural Owl,Strix uralensis,长尾林鸮,
Ural Owl (Ural),Strix uralensis [uralensis Group],,
Long-eared Owl,Asio otus,长耳鸮,
Long-eared Owl (Eurasian),Asio otus otus/canariensis,长耳鸮（欧亚）,
Short-eared Owl,Asio flammeus,短耳鸮,
Short-eared Owl (Northern),Asio flammeus flammeus,短耳鸮（北方）,
Northern Boobook,Ninox japonica,北鹰鸮,
Brown/Northern Boobook,Ninox scutulata/japonica,鹰鸮/北鹰鸮,
owl sp.,Strigiformes sp.,未识别的鸮类,
 ,,,
BUCEROTIFORMES: Upupidae,,,
,,,
Eurasian Hoopoe,Upupa epops,戴胜,
Eurasian Hoopoe (Eurasian),Upupa epops [epops Group],戴胜（欧亚）,
 ,,,
CORACIIFORMES: Alcedinidae,,,
,,,
Common Kingfisher,Alcedo atthis,普通翠鸟,
Common Kingfisher (Common),Alcedo atthis [atthis Group],普通翠鸟（广布）,
Ruddy Kingfisher,Halcyon coromanda,赤翡翠,
Black-capped Kingfisher,Halcyon pileata,蓝翡翠,易危
Crested Kingfisher,Megaceryle lugubris,冠鱼狗,
 ,,,
CORACIIFORMES: Coraciidae,,,
,,,
Dollarbird,Eurystomus orientalis,三宝鸟,
 ,,,
PICIFORMES: Picidae,,,
,,,
Eurasian Wryneck,Jynx torquilla,蚁䴕,
Japanese Pygmy Woodpecker,Yungipicus kizuki,小星头啄木鸟,
White-backed Woodpecker,Dendrocopos leucotos,白背啄木鸟,
White-backed Woodpecker (White-backed),Dendrocopos leucotos [leucotos Group],白背啄木鸟（广布）,
Great Spotted Woodpecker,Dendrocopos major,大斑啄木鸟,
Great Spotted Woodpecker (japonicus),Dendrocopos major japonicus,,
Great Spotted/Syrian Woodpecker,Dendrocopos major/syriacus,大斑啄木鸟/叙利亚啄木鸟,
Lesser Spotted Woodpecker,Dryobates minor,小斑啄木鸟,
Japanese Woodpecker,Picus awokera,日本绿啄木鸟,特有种（国家/地区）
woodpecker sp.,Picidae sp.,未识别的啄木鸟类,
 ,,,
FALCONIFORMES: Falconidae,,,
,,,
Eurasian Kestrel,Falco tinnunculus,红隼,
Eurasian Kestrel (Eurasian),Falco tinnunculus [tinnunculus Group],红隼（欧亚）,
Eurasian/Rock Kestrel,Falco tinnunculus/rupicolus,,
Merlin,Falco columbarius,灰背隼,
Merlin (Eurasian),Falco columbarius [aesalon Group],灰背隼（欧亚）,
Eurasian Hobby,Falco subbuteo,燕隼,
Peregrine Falcon,Falco peregrinus,游隼,
Peregrine Falcon (Peale's),Falco peregrinus pealei,游隼 (pealei),
Peregrine Falcon (Eurasian),Falco peregrinus [peregrinus Group],游隼（欧亚）,
falcon sp.,Falco sp.,未识别的Falco属隼,
 ,,,
ACCIPITRIFORMES/FALCONIFORMES SP.: Accipitriformes/Falconiformes sp.,,,
,,,
diurnal raptor sp.,Accipitriformes/Falconiformes sp.,未识别的鹰隼类,
 ,,,
PSITTACIFORMES: Psittaculidae,,,
,,,
Rose-ringed Parakeet,Psittacula krameri,红领绿鹦鹉,外来物种
Psittacula sp.,Psittacula sp.,未识别的Psittacula属鹦鹉,外来物种
 ,,,
PSITTACIFORMES: Psittaciformes sp.,,,
,,,
parakeet sp.,Psittaciformes sp. (parakeet sp.),,
 ,,,
PASSERIFORMES: Pittidae,,,
,,,
Fairy Pitta,Pitta nympha,仙八色鸫,易危
 ,,,
PASSERIFORMES: Campephagidae,,,
,,,
Ryukyu Minivet,Pericrocotus tegimae,琉球山椒鸟,特有种（国家/地区）
Ashy Minivet,Pericrocotus divaricatus,灰山椒鸟,
Ryukyu/Ashy Minivet,Pericrocotus tegimae/divaricatus,琉球山椒鸟/灰山椒鸟,
 ,,,
PASSERIFORMES: Oriolidae,,,
,,,
Black-naped Oriole,Oriolus chinensis,黑枕黄鹂,
Black-naped Oriole (East Asian),Oriolus chinensis diffusus,黑枕黄鹂（东亚）,
 ,,,
PASSERIFORMES: Dicruridae,,,
,,,
Black Drongo,Dicrurus macrocercus,黑卷尾,稀见/偶见
 ,,,
PASSERIFORMES: Monarchidae,,,
,,,
Black Paradise-Flycatcher,Terpsiphone atrocaudata,紫寿带,
Black Paradise-Flycatcher (Northern),Terpsiphone atrocaudata atrocaudata/illex,,
 ,,,
PASSERIFORMES: Laniidae,,,
,,,
Tiger Shrike,Lanius tigrinus,虎纹伯劳,
Bull-headed Shrike,Lanius bucephalus,牛头伯劳,
Red-backed Shrike,Lanius collurio,红背伯劳,稀见/偶见
Brown Shrike,Lanius cristatus,红尾伯劳,
Brown Shrike (Japanese),Lanius cristatus superciliosus,红尾伯劳（日本，白额红头）,
Brown Shrike (Philippine),Lanius cristatus lucionensis,红尾伯劳（东亚，灰头）,
Long-tailed Shrike,Lanius schach,棕背伯劳,稀见/偶见
Long-tailed Shrike (schach),Lanius schach schach,棕背伯劳（灰头）,稀见/偶见
shrike sp.,Laniidae sp.,,
 ,,,
PASSERIFORMES: Corvidae,,,
,,,
Eurasian Jay,Garrulus glandarius,松鸦,
Eurasian Jay (Japanese),Garrulus glandarius [japonicus Group],松鸦 [japonicus Group],
Azure-winged Magpie,Cyanopica cyanus,灰喜鹊,
Azure-winged Magpie (Azure-winged),Cyanopica cyanus [cyanus Group],灰喜鹊（东亚）,
Azure-winged Magpie (Japanese),Cyanopica cyanus japonica,灰喜鹊 (japonica),
Oriental Magpie,Pica serica,喜鹊,
Oriental/Eurasian Magpie,Pica serica/pica,喜鹊/欧亚喜鹊,
Northern Nutcracker,Nucifraga caryocatactes,星鸦,
Northern/Southern Nutcracker,Nucifraga caryocatactes/hemispila,,
Daurian Jackdaw,Coloeus dauuricus,达乌里寒鸦,
Eurasian/Daurian Jackdaw,Coloeus monedula/dauuricus,,
Rook,Corvus frugilegus,秃鼻乌鸦,
Rook (Eastern),Corvus frugilegus pastinator,,
Carrion Crow,Corvus corone,小嘴乌鸦,
Carrion Crow (Eastern),Corvus corone orientalis,小嘴乌鸦（亚洲）,
Carrion/Hooded Crow,Corvus corone/cornix,小嘴乌鸦/冠小嘴乌鸦,
Large-billed Crow,Corvus macrorhynchos,大嘴乌鸦,
Large-billed Crow (Large-billed),Corvus macrorhynchos [macrorhynchos Group],,
crow sp.,Corvus sp. (crow sp.),未识别的小型乌鸦,
crow/raven sp.,Corvus sp.,未识别的Corvus属乌鸦,
 ,,,
PASSERIFORMES: Paridae,,,
,,,
Coal Tit,Periparus ater,煤山雀,
Coal Tit (Continental),Periparus ater [ater Group],煤山雀（欧亚）,
Yellow-bellied Tit,Periparus venustulus,黄腹山雀,稀见/偶见
Varied Tit,Sittiparus varius,杂色山雀,
Owston's Tit,Sittiparus owstoni,日本杂色山雀,特有的 濒危
Willow Tit,Poecile montanus,褐头山雀,
Willow Tit (Willow),Poecile montanus [montanus Group],褐头山雀（欧亚北部）,
Asian Tit,Parus cinereus,苍背山雀,
Asian Tit (Japanese),Parus cinereus [minor Group],远东山雀（绿背）,
parid sp.,Paridae sp.,未识别的山雀科鸟类,
 ,,,
PASSERIFORMES: Remizidae,,,
,,,
Chinese Penduline-Tit,Remiz consobrinus,中华攀雀,
 ,,,
PASSERIFORMES: Alaudidae,,,
,,,
Eurasian Skylark,Alauda arvensis,云雀,
Eurasian Skylark (Asian),Alauda arvensis [pekinensis Group],云雀（亚洲）,
Eurasian Skylark (Far Eastern),Alauda arvensis japonica/intermedia,云雀（东北亚）,
Greater Short-toed Lark,Calandrella brachydactyla,大短趾百灵,稀见/偶见
Mongolian Short-toed Lark,Calandrella dukhunensis,蒙古短趾百灵,稀见/偶见
Greater/Mongolian Short-toed Lark,Calandrella brachydactyla/dukhunensis,大短趾百灵/蒙古短趾百灵,稀见/偶见
Bimaculated Lark,Melanocorypha bimaculata,二斑百灵,稀见/偶见
Asian Short-toed Lark,Alaudala cheleensis,亚洲短趾百灵,稀见/偶见
 ,,,
PASSERIFORMES: Panuridae,,,
,,,
Bearded Reedling,Panurus biarmicus,文须雀,稀见/偶见
 ,,,
PASSERIFORMES: Cisticolidae,,,
,,,
Zitting Cisticola,Cisticola juncidis,棕扇尾莺,
Zitting Cisticola (Far Eastern),Cisticola juncidis brunniceps,棕扇尾莺 (brunniceps),
 ,,,
PASSERIFORMES: Acrocephalidae,,,
,,,
Black-browed Reed Warbler,Acrocephalus bistrigiceps,黑眉苇莺,
Black-browed/Manchurian Reed Warbler,Acrocephalus bistrigiceps/tangorum,黑眉苇莺/远东苇莺,
Oriental Reed Warbler,Acrocephalus orientalis,东方大苇莺,
Acrocephalus sp.,Acrocephalus sp.,未识别的Acrocephalus属苇莺,
 ,,,
PASSERIFORMES: Locustellidae,,,
,,,
Sakhalin Grasshopper Warbler,Helopsaltes amnicola,库页岛蝗莺,
Gray's/Sakhalin Grasshopper Warbler,Helopsaltes fasciolatus/amnicola,苍眉蝗莺/库页岛蝗莺,
Marsh Grassbird,Helopsaltes pryeri,斑背大尾莺,近危
Middendorff's Grasshopper Warbler,Helopsaltes ochotensis,北蝗莺,
Pleske's Grasshopper Warbler,Helopsaltes pleskei,史氏蝗莺,易危
Lanceolated Warbler,Locustella lanceolata,矛斑蝗莺,
 ,,,
PASSERIFORMES: Hirundinidae,,,
,,,
Bank Swallow,Riparia riparia,崖沙燕,
Bank Swallow/Pale Martin,Riparia riparia/diluta,崖沙燕/淡色沙燕,
Pacific Swallow,Hirundo javanica,洋燕,
Barn Swallow,Hirundo rustica,家燕,
Barn Swallow (White-bellied),Hirundo rustica rustica,家燕（欧亚西部，黑胸带）,
Barn Swallow (Buff-bellied),Hirundo rustica gutturalis/mandschurica,家燕（东亚，白腹）,
Siberian House-Martin,Delichon lagopodum,白腹毛脚燕,稀见/偶见
Western/Siberian House-Martin,Delichon urbicum/lagopodum,,稀见/偶见
Asian House-Martin,Delichon dasypus,烟腹毛脚燕,
Eastern Red-rumped Swallow,Cecropis daurica,金腰燕,
Eastern Red-rumped Swallow (Daurian),Cecropis daurica [daurica Group],,
European/African/Eastern Red-rumped Swallow,Cecropis rufula/melanocrissus/daurica,金腰燕/斑腰燕,
swallow sp.,Hirundinidae sp.,未识别的燕科鸟类,
 ,,,
PASSERIFORMES: Pycnonotidae,,,
,,,
Brown-eared Bulbul,Hypsipetes amaurotis,栗耳短脚鹎,
Light-vented Bulbul (formosae/orii),Pycnonotus sinensis formosae/orii,白头鹎（台湾）,稀见/偶见
 ,,,
PASSERIFORMES: Phylloscopidae,,,
,,,
Yellow-browed Warbler,Phylloscopus inornatus,黄眉柳莺,
Yellow-browed/Hume's Warbler,Phylloscopus inornatus/humei,黄眉柳莺/淡眉柳莺,
Pallas's Leaf Warbler,Phylloscopus proregulus,黄腰柳莺,稀见/偶见
Dusky Warbler,Phylloscopus fuscatus,褐柳莺,稀见/偶见
Dusky/Smoky Warbler,Phylloscopus fuscatus/fuligiventer,褐柳莺/烟柳莺,稀见/偶见
Eastern Crowned Warbler,Phylloscopus coronatus,冕柳莺,
Ijima's Leaf Warbler,Phylloscopus ijimae,饭岛柳莺,仅在当地繁育的 易危
Sakhalin Leaf Warbler,Phylloscopus borealoides,库页岛柳莺,
Pale-legged/Sakhalin Leaf Warbler,Phylloscopus tenellipes/borealoides,淡脚柳莺/库页岛柳莺,
Japanese Leaf Warbler,Phylloscopus xanthodryas,日本柳莺,
Arctic Warbler,Phylloscopus borealis,极北柳莺,
Kamchatka Leaf Warbler,Phylloscopus examinandus,堪察加柳莺,
Japanese Leaf/Arctic/Kamchatka Leaf Warbler,Phylloscopus xanthodryas/borealis/examinandus,日本柳莺/极北柳莺/勘察加柳莺,
Phylloscopus sp.,Phylloscopus sp.,未识别的柳莺,
 ,,,
PASSERIFORMES: Scotocercidae,,,
,,,
Asian Stubtail,Urosphena squameiceps,鳞头树莺,
Japanese Bush Warbler,Horornis diphone,日本树莺,
Japanese Bush Warbler (Northern),Horornis diphone [cantans Group],,
Japanese Bush Warbler (Bonin),Horornis diphone diphone,,仅在离岛中
Manchurian Bush Warbler,Horornis canturians,远东树莺,
Japanese/Manchurian Bush Warbler,Horornis diphone/canturians,日本树莺/远东树莺,
 ,,,
PASSERIFORMES: Aegithalidae,,,
,,,
Long-tailed Tit,Aegithalos caudatus,北长尾山雀,
Long-tailed Tit (caudatus),Aegithalos caudatus caudatus,北长尾山雀（白头）,
Long-tailed Tit (europaeus Group),Aegithalos caudatus [europaeus Group],,
 ,,,
PASSERIFORMES: Sylviidae,,,
,,,
Lesser Whitethroat,Curruca curruca,白喉林莺/沙白喉林莺/休氏白喉林莺,稀见/偶见
Lesser Whitethroat (curruca/blythi),Curruca curruca curruca/blythi,白喉林莺（北方）,稀见/偶见
Lesser Whitethroat (Lesser),Curruca curruca curruca/blythi/halimodendri,白喉林莺,稀见/偶见
Lesser Whitethroat (Lesser/Hume's),Curruca curruca curruca/althaea,白喉林莺/休氏白喉林莺,稀见/偶见
old world warbler sp.,Passeriformes sp. (Old World warbler sp.),未识别的旧大陆莺类,
 ,,,
PASSERIFORMES: Paradoxornithidae,,,
,,,
Vinous-throated Parrotbill,Suthora webbiana,棕头鸦雀,来源不明
 ,,,
PASSERIFORMES: Zosteropidae,,,
,,,
Bonin White-eye,Apalopteron familiare,笠原吸蜜鸟,特有种（国家/地区）
Warbling White-eye,Zosterops japonicus,日本绣眼鸟,
 ,,,
PASSERIFORMES: Leiothrichidae,,,
,,,
Red-billed Leiothrix,Leiothrix lutea,红嘴相思鸟,外来物种
Chinese Hwamei,Garrulax canorus,画眉,外来物种
Chinese/Taiwan Hwamei,Garrulax canorus/taewanus,画眉/台湾画眉,外来物种
White-browed Laughingthrush,Pterorhinus sannio,白颊噪鹛,外来物种
 ,,,
PASSERIFORMES: Regulidae,,,
,,,
Goldcrest,Regulus regulus,戴菊,
Goldcrest (Asian),Regulus regulus [himalayensis Group],戴菊（亚洲）,
 ,,,
PASSERIFORMES: Sittidae,,,
,,,
Eurasian Nuthatch,Sitta europaea,普通䴓,
Eurasian Nuthatch (Buff-bellied),Sitta europaea [roseilia Group],普通䴓（白喉栗腹）,
Siberian/Eurasian Nuthatch,Sitta arctica/europaea,,
 ,,,
PASSERIFORMES: Certhiidae,,,
,,,
Eurasian Treecreeper,Certhia familiaris,旋木雀,
 ,,,
PASSERIFORMES: Troglodytidae,,,
,,,
Eurasian Wren,Troglodytes troglodytes,鹪鹩,
Eurasian Wren (Eurasian),Troglodytes troglodytes [troglodytes Group],鹪鹩（欧亚）,
 ,,,
PASSERIFORMES: Cinclidae,,,
,,,
Brown Dipper,Cinclus pallasii,褐河乌,
 ,,,
PASSERIFORMES: Sturnidae,,,
,,,
European Starling,Sturnus vulgaris,紫翅椋鸟,
Chestnut-cheeked Starling,Agropsar philippensis,紫背椋鸟,
pied starling sp.,Gracupica contra/floweri/jalla,,外来物种
White-shouldered Starling,Sturnia sinensis,灰背椋鸟,
Red-billed Starling,Spodiopsar sericeus,丝光椋鸟,稀见/偶见
White-cheeked Starling,Spodiopsar cineraceus,灰椋鸟,
Common Myna,Acridotheres tristis,家八哥,外来物种
Javan Myna,Acridotheres javanicus,爪哇八哥,稀见/偶见 易危
Crested Myna,Acridotheres cristatellus,八哥,稀见/偶见
myna/starling sp.,Sturnidae sp.,未识别的八哥和椋鸟,
 ,,,
PASSERIFORMES: Turdidae,,,
,,,
White's Thrush,Zoothera aurea,怀氏虎鸫,
Scaly Thrush,Zoothera dauma,虎斑地鸫,
White's/Scaly Thrush,Zoothera aurea/dauma,怀氏虎鸫/虎斑地鸫,
Siberian Thrush,Geokichla sibirica,白眉地鸫,
Siberian Thrush (Sakhalin),Geokichla sibirica davisoni,,
Song Thrush,Turdus philomelos,欧歌鸫,稀见/偶见
Japanese Thrush,Turdus cardis,乌灰鸫,
Gray-backed Thrush,Turdus hortulorum,灰背鸫,稀见/偶见
Pale Thrush,Turdus pallidus,白腹鸫,
Eyebrowed Thrush,Turdus obscurus,白眉鸫,
Brown-headed Thrush,Turdus chrysolaus,赤胸鸫,
Izu Thrush,Turdus celaenops,伊岛鸫,特有种（国家/地区） 易危
Fieldfare,Turdus pilaris,田鸫,稀见/偶见
Dusky Thrush,Turdus eunomus,斑鸫,
Naumann's Thrush,Turdus naumanni,红尾鸫,稀见/偶见
Dusky x Naumann's Thrush (hybrid),Turdus eunomus x naumanni,斑鸫x红尾鸫（杂交）,稀见/偶见
Dusky/Naumann's Thrush,Turdus eunomus/naumanni,斑鸫/红尾鸫,
Turdus sp.,Turdus sp.,未识别的Turdus属鸫,
thrush sp.,Turdidae sp.,未识别的鸫类,
 ,,,
PASSERIFORMES: Muscicapidae,,,
,,,
Gray-streaked Flycatcher,Muscicapa griseisticta,灰纹鹟,
Dark-sided Flycatcher,Muscicapa sibirica,乌鹟,
Dark-sided Flycatcher (Siberian),Muscicapa sibirica sibirica,,
Asian Brown Flycatcher,Muscicapa dauurica,北灰鹟,
Asian Brown Flycatcher (Northern),Muscicapa dauurica dauurica,,
Asian Brown/Brown-streaked Flycatcher,Muscicapa dauurica/williamsoni,北灰鹟/褐纹鹟,
Muscicapa sp.,Muscicapa sp.,未识别的Muscicapa属鹟,
Blue-and-white Flycatcher,Cyanoptila cyanomelana,白腹蓝鹟,
Blue-and-white/Zappey's Flycatcher,Cyanoptila cyanomelana/cumatilis,白腹蓝鹟/琉璃蓝鹟,
Verditer Flycatcher,Eumyias thalassinus,铜蓝鹟,稀见/偶见
Japanese Robin,Larvivora akahige,日本歌鸲,
Izu Robin,Larvivora tanensis,伊岛歌鸲,特有种（国家/地区） 易危
Japanese/Izu Robin,Larvivora akahige/tanensis,,
Siberian Blue Robin,Larvivora cyane,蓝歌鸲,
Bluethroat,Luscinia svecica,蓝喉歌鸲,
Siberian Rubythroat,Calliope calliope,红喉歌鸲,
Red-flanked Bluetail,Tarsiger cyanurus,红胁蓝尾鸲,
Red-flanked/Qilian Bluetail,Tarsiger cyanurus/albocoeruleus,,
Red-flanked/Himalayan Bluetail,Tarsiger cyanurus/rufilatus,红胁蓝尾鸲/蓝眉林鸲,
Yellow-rumped Flycatcher,Ficedula zanthopygia,白眉姬鹟,
Narcissus Flycatcher,Ficedula narcissina,黄眉姬鹟,
Yellow-rumped/Green-backed/Narcissus/Ryukyu Flycatcher,Ficedula zanthopygia/elisae/narcissina/owstoni,白眉姬鹟/绿背姬鹟/黄眉姬鹟/琉球姬鹟,
Narcissus/Ryukyu Flycatcher,Ficedula narcissina/owstoni,黄眉姬鹟/琉球姬鹟,
Mugimaki Flycatcher,Ficedula mugimaki,鸲姬鹟,
Taiga Flycatcher,Ficedula albicilla,红喉姬鹟,稀见/偶见
Red-breasted Flycatcher,Ficedula parva,红胸姬鹟,稀见/偶见
Taiga/Red-breasted Flycatcher,Ficedula albicilla/parva,红喉姬鹟/红胸姬鹟,
Plumbeous Redstart,Phoenicurus fuliginosus,红尾水鸲,稀见/偶见
Daurian Redstart,Phoenicurus auroreus,北红尾鸲,
redstart sp.,Phoenicurus sp.,未识别的红尾鸲,
Blue Rock-Thrush,Monticola solitarius,蓝矶鸫,
Blue Rock-Thrush (philippensis),Monticola solitarius philippensis,蓝矶鸫（红腹）,
Whinchat,Saxicola rubetra,草原石䳭,稀见/偶见
Amur Stonechat,Saxicola stejnegeri,东亚石䳭,
Siberian/Amur Stonechat,Saxicola maurus/stejnegeri,黑喉石䳭/东亚石䳭,
Isabelline Wheatear,Oenanthe isabellina,沙䳭,稀见/偶见
Desert Wheatear,Oenanthe deserti,漠䳭,稀见/偶见
Pied Wheatear,Oenanthe pleschanka,白顶䳭,稀见/偶见
Cyprus/Pied Wheatear,Oenanthe cypriaca/pleschanka,,稀见/偶见
muscicapid sp.,Muscicapidae sp.,未识别的鹟科鸟类,
 ,,,
PASSERIFORMES: Bombycillidae,,,
,,,
Bohemian Waxwing,Bombycilla garrulus,太平鸟,
Japanese Waxwing,Bombycilla japonica,小太平鸟,近危
 ,,,
PASSERIFORMES: Estrildidae,,,
,,,
White-rumped Munia,Lonchura striata,白腰文鸟,外来物种
Red Avadavat,Amandava amandava,红梅花雀,
 ,,,
PASSERIFORMES: Prunellidae,,,
,,,
Alpine Accentor,Prunella collaris,领岩鹨,
Siberian Accentor,Prunella montanella,棕眉山岩鹨,稀见/偶见
Japanese Accentor,Prunella rubida,红岩鹨,
 ,,,
PASSERIFORMES: Passeridae,,,
,,,
Russet Sparrow,Passer cinnamomeus,山麻雀,
