Common Goldeneye,Bucephala clangula,鹊鸭,
Smew,Mergellus albellus,白秋沙鸭,
Common Merganser,Mergus merganser,普通秋沙鸭,
Common Merganser (Eurasian),Mergus merganser merganser/orientalis,普通秋沙鸭（欧亚）,
Red-breasted Merganser,Mergus serrator,红胸秋沙鸭,
Scaly-sided Merganser,Mergus squamatus,中华秋沙鸭,稀见/偶见 濒危
duck sp.,Anatidae (duck sp.),未识别的鸭类,
 ,,,
GALLIFORMES: Phasianidae,,,
,,,
Rock Ptarmigan,Lagopus muta,岩雷鸟,
Copper Pheasant,Syrmaticus soemmerringii,铜长尾雉,特有种（国家/地区） 近危
Green Pheasant,Phasianus versicolor,绿雉,
Ring-necked/Green Pheasant,Phasianus colchicus/versicolor,,
Chinese Bamboo-Partridge,Bambusicola thoracicus,灰胸竹鸡,外来物种
Chinese/Taiwan Bamboo-Partridge,Bambusicola thoracicus/sonorivox,,外来物种
Japanese Quail,Coturnix japonica,鹌鹑（日本鹌鹑）,近危
 ,,,
COLUMBIFORMES: Columbidae,,,
,,,
Rock Pigeon,Columba livia,原鸽,外来物种
Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),原鸽（野化家鸽）,
Black Wood-Pigeon,Columba janthina,黑林鸽,
Oriental Turtle-Dove,Streptopelia orientalis,山斑鸠,
Eurasian Collared-Dove,Streptopelia decaocto,灰斑鸠,
Eurasian/Burmese Collared-Dove,Streptopelia decaocto/xanthocycla,,
Red Collared-Dove,Streptopelia tranquebarica,火斑鸠,稀见/偶见
White-bellied Green-Pigeon,Treron sieboldii,红翅绿鸠,
Whistling Green-Pigeon (Ryukyu),Treron formosae permagnus/medioximus,红顶绿鸠（琉球）,
pigeon/dove sp.,Columbidae sp.,未识别的鸠鸽类,
 ,,,
CUCULIFORMES: Cuculidae,,,
,,,
Asian Koel,Eudynamys scolopaceus,噪鹃,稀见/偶见
Northern Hawk-Cuckoo,Hierococcyx hyperythrus,北鹰鹃（棕腹杜鹃）,
Lesser Cuckoo,Cuculus poliocephalus,小杜鹃,
Common Cuckoo,Cuculus canorus,大杜鹃,
African/Common Cuckoo,Cuculus gularis/canorus,,
Oriental Cuckoo,Cuculus optatus,北方中杜鹃,
Himalayan/Oriental Cuckoo,Cuculus saturatus/optatus,中杜鹃/北方中杜鹃,
Cuculus sp.,Cuculus sp.,未识别的Cuculus属杜鹃,
cuckoo sp. (Cuculidae sp.),Cuculidae sp.,未识别的杜鹃类,
 ,,,
CAPRIMULGIFORMES: Caprimulgidae,,,
,,,
Gray Nightjar,Caprimulgus jotaka,普通夜鹰,
Jungle/Gray Nightjar,Caprimulgus indicus/jotaka,印度夜鹰/普通夜鹰,
 ,,,
APODIFORMES: Apodidae,,,
,,,
White-throated Needletail,Hirundapus caudacutus,白喉针尾雨燕,
White-throated Needletail (White-lored),Hirundapus caudacutus caudacutus,,
Pacific Swift,Apus pacificus,白腰雨燕,
fork-tailed swift sp.,Apus pacificus/salimalii/leuconyx/cooki,白腰雨燕种组,
House Swift,Apus nipalensis,小白腰雨燕,
Little/House Swift,Apus affinis/nipalensis,,
Apus sp.,Apus sp.,未识别的Apus属雨燕,
Apus/Tachymarptis sp.,Apus/Tachymarptis sp.,,
swift sp.,Apodidae sp.,未识别的雨燕科鸟类,
 ,,,
GRUIFORMES: Rallidae,,,
,,,
Brown-cheeked Rail,Rallus indicus,普通秧鸡,
Water/Brown-cheeked Rail,Rallus aquaticus/indicus,西方秧鸡/普通秧鸡,
Eurasian Moorhen,Gallinula chloropus,黑水鸡,
Eurasian Moorhen/Common Gallinule,Gallinula chloropus/galeata,黑水鸡/美洲黑水鸡,
Eurasian Coot,Fulica atra,骨顶鸡,
Watercock,Gallicrex cinerea,董鸡,
White-breasted Waterhen,Amaurornis phoenicurus,白胸苦恶鸟,
Ruddy-breasted Crake,Zapornia fusca,红胸田鸡,
Baillon's Crake,Zapornia pusilla,小田鸡,稀见/偶见
Baillon's Crake (Eastern),Zapornia pusilla pusilla,小田鸡（亚洲）,稀见/偶见
Swinhoe's Rail,Coturnicops exquisitus,花田鸡,
rail/crake sp.,Rallidae sp. (rail/crake sp.),未识别的秧鸡和田鸡类,
 ,,,
GRUIFORMES: Gruidae,,,
,,,
Demoiselle Crane,Anthropoides virgo,蓑羽鹤,稀见/偶见
White-naped Crane,Antigone vipio,白枕鹤,稀见/偶见 易危
Hooded Crane,Grus monacha,白头鹤,易危
Red-crowned Crane,Grus japonensis,丹顶鹤,稀见/偶见 易危
 ,,,
CHARADRIIFORMES: Recurvirostridae,,,
,,,
Black-winged Stilt,Himantopus himantopus,黑翅长脚鹬,
Pied Avocet,Recurvirostra avosetta,反嘴鹬,稀见/偶见
 ,,,
CHARADRIIFORMES: Haematopodidae,,,
,,,
Eurasian Oystercatcher,Haematopus ostralegus,蛎鹬,近危
Eurasian Oystercatcher (Far Eastern),Haematopus ostralegus osculans,蛎鹬（东亚）,
 ,,,
CHARADRIIFORMES: Charadriidae,,,
,,,
Black-bellied Plover,Pluvialis squatarola,灰斑鸻,易危
Pacific Golden-Plover,Pluvialis fulva,金斑鸻,
American/Pacific Golden-Plover (Lesser Golden-Plover),Pluvialis dominica/fulva,美洲金鸻/金斑鸻,
Common Ringed Plover,Charadrius hiaticula,剑鸻,
Common Ringed/Semipalmated Plover,Charadrius hiaticula/semipalmatus,剑鸻/半蹼鸻,
Little Ringed Plover,Thinornis dubius,金眶鸻,
Little Ringed Plover (curonicus),Thinornis dubius curonicus,金眶鸻（古北界）,
Long-billed Plover,Thinornis placidus,长嘴剑鸻,
Charadrius/Thinornis sp.,Charadrius/Thinornis sp.,未识别的Charadrius属小型鸻类,
Northern Lapwing,Vanellus vanellus,凤头麦鸡,近危
Gray-headed Lapwing,Vanellus cinereus,灰头麦鸡,
Oriental Plover,Anarhynchus veredus,东方鸻,稀见/偶见
Siberian Sand-Plover,Anarhynchus mongolus,蒙古沙鸻,濒危
Siberian/Tibetan Sand-Plover,Anarhynchus mongolus/atrifrons,,
Greater Sand-Plover,Anarhynchus leschenaultii,铁嘴沙鸻,
sand-plover sp.,Anarhynchus mongolus/atrifrons/leschenaultii,,
Kentish Plover,Anarhynchus alexandrinus,环颈鸻,
Kentish Plover (Kentish),Anarhynchus alexandrinus alexandrinus/nihonensis,环颈鸻（广布）,
Snowy/Kentish Plover,Anarhynchus nivosus/alexandrinus,环颈鸻/雪鸻,
small plover sp.,Charadrius/Thinornis/Anarhynchus sp.,,
 ,,,
CHARADRIIFORMES: Rostratulidae,,,
,,,
Greater Painted-Snipe,Rostratula benghalensis,彩鹬,
 ,,,
CHARADRIIFORMES: Jacanidae,,,
,,,
Pheasant-tailed Jacana,Hydrophasianus chirurgus,水雉,稀见/偶见
 ,,,
CHARADRIIFORMES: Scolopacidae,,,
,,,
Bristle-thighed Curlew,Numenius tahitiensis,太平洋杓鹬,稀见/偶见 近危
Whimbrel,Numenius phaeopus,中杓鹬,
Whimbrel (White-rumped),Numenius phaeopus [phaeopus Group],中杓鹬（白腰）,
Whimbrel (Siberian),Numenius phaeopus variegatus/rogachevae,中杓鹬（东亚）,
Little Curlew,Numenius minutus,小杓鹬,
Far Eastern Curlew,Numenius madagascariensis,大杓鹬,濒危
Eurasian Curlew,Numenius arquata,白腰杓鹬,近危
Whimbrel/Eurasian Curlew,Numenius phaeopus/arquata,中杓鹬/白腰杓鹬,
Far Eastern/Eurasian Curlew,Numenius madagascariensis/arquata,大杓鹬/白腰杓鹬,
Bar-tailed Godwit,Limosa lapponica,斑尾塍鹬,近危
Bar-tailed Godwit (Siberian),Limosa lapponica [baueri Group],斑尾塍鹬（东亚）,
Black-tailed Godwit,Limosa limosa,黑尾塍鹬,近危
Black-tailed Godwit (melanuroides),Limosa limosa melanuroides,黑尾塍鹬（东亚）,
Asian Dowitcher,Limnodromus semipalmatus,半蹼鹬,稀见/偶见 近危
Long-billed Dowitcher,Limnodromus scolopaceus,长嘴鹬,近危
Short-billed/Long-billed Dowitcher,Limnodromus griseus/scolopaceus,短嘴半蹼鹬/长嘴鹬,
Jack Snipe,Lymnocryptes minimus,姬鹬,稀见/偶见
Eurasian Woodcock,Scolopax rusticola,丘鹬,
Eurasian/Amami Woodcock,Scolopax rusticola/mira,,
Solitary Snipe,Gallinago solitaria,孤沙锥,
Swinhoe's Snipe,Gallinago megala,大沙锥,
Pin-tailed Snipe,Gallinago stenura,针尾沙锥,稀见/偶见
Latham's Snipe,Gallinago hardwickii,澳南沙锥,近危
Common Snipe,Gallinago gallinago,扇尾沙锥,
Common/Wilson's Snipe,Gallinago gallinago/delicata,扇尾沙锥/美洲沙锥,
snipe sp.,Gallinago sp.,未识别的沙锥,
Red Phalarope,Phalaropus fulicarius,灰瓣蹼鹬,
Red-necked Phalarope,Phalaropus lobatus,红颈瓣蹼鹬,
Red/Red-necked Phalarope,Phalaropus fulicarius/lobatus,红颈瓣蹼鹬/灰瓣蹼鹬,
phalarope sp.,Phalaropus sp.,未识别的半蹼鹬,
Terek Sandpiper,Xenus cinereus,翘嘴鹬,
Common Sandpiper,Actitis hypoleucos,矶鹬,
Green Sandpiper,Tringa ochropus,白腰草鹬,
Gray-tailed Tattler,Tringa brevipes,灰尾漂鹬,
Wandering Tattler,Tringa incana,漂鹬,稀见/偶见
Gray-tailed/Wandering Tattler,Tringa brevipes/incana,灰尾漂鹬/漂鹬,
Marsh Sandpiper,Tringa stagnatilis,泽鹬,
Wood Sandpiper,Tringa glareola,林鹬,
Common Redshank,Tringa totanus,红脚鹬,
Lesser Yellowlegs,Tringa flavipes,小黄脚鹬,稀见/偶见 易危
Nordmann's Greenshank,Tringa guttifer,小青脚鹬,稀见/偶见 濒危
Spotted Redshank,Tringa erythropus,鹤鹬,
Common Greenshank,Tringa nebularia,青脚鹬,
Ruddy Turnstone,Arenaria interpres,翻石鹬,近危
Great Knot,Calidris tenuirostris,大滨鹬,濒危
Red Knot,Calidris canutus,红腹滨鹬,近危
Ruff,Calidris pugnax,流苏鹬,
Broad-billed Sandpiper,Calidris falcinellus,阔嘴鹬,易危
Sharp-tailed Sandpiper,Calidris acuminata,尖尾滨鹬,易危
Curlew Sandpiper,Calidris ferruginea,弯嘴滨鹬,易危
Stilt Sandpiper,Calidris himantopus,高跷鹬,稀见/偶见 近危
Temminck's Stint,Calidris temminckii,青脚滨鹬,
Long-toed Stint,Calidris subminuta,长趾滨鹬,
Red-necked Stint,Calidris ruficollis,红颈滨鹬,近危
Spoon-billed Sandpiper,Calidris pygmaea,勺嘴鹬,极危
Buff-breasted Sandpiper,Calidris subruficollis,饰胸鹬,稀见/偶见 易危
Sanderling,Calidris alba,三趾滨鹬,
Dunlin,Calidris alpina,黑腹滨鹬,近危
Dunlin (sakhalina Group),Calidris alpina [sakhalina Group],黑腹滨鹬（东北亚）,
Baird's Sandpiper,Calidris bairdii,黑腰滨鹬,稀见/偶见
Little Stint,Calidris minuta,小滨鹬,稀见/偶见
Pectoral Sandpiper,Calidris melanotos,斑胸滨鹬,
Western Sandpiper,Calidris mauri,西方滨鹬,稀见/偶见
peep sp.,Calidris sp. (peep sp.),未识别的小型滨鹬,
Calidris sp.,Calidris sp.,未识别的Calidris属鹬,
Scolopacidae sp.,Scolopacidae sp.,未识别的鹬类,
 ,,,
CHARADRIIFORMES: Glareolidae,,,
,,,
Oriental Pratincole,Glareola maldivarum,普通燕鸻,
 ,,,
CHARADRIIFORMES: Charadriiformes sp.,,,
,,,
shorebird sp.,Charadriiformes sp. (shorebird sp.),未识别的鸻鹬类,
 ,,,
CHARADRIIFORMES: Stercorariidae,,,
,,,
Long-tailed Jaeger,Stercorarius longicaudus,长尾贼鸥,
Parasitic Jaeger,Stercorarius parasiticus,短尾贼鸥,
Long-tailed/Parasitic Jaeger,Stercorarius longicaudus/parasiticus,短尾贼鸥/长尾贼鸥,
Pomarine Jaeger,Stercorarius pomarinus,中贼鸥,
Parasitic/Pomarine Jaeger,Stercorarius parasiticus/pomarinus,中贼鸥/短尾贼鸥,
South Polar Skua,Stercorarius maccormicki,南极贼鸥,
jaeger sp.,Stercorarius sp. (jaeger sp.),中/短尾/長尾賊鷗,
skua sp.,Stercorarius sp. (skua sp.),,
jaeger/skua sp.,Stercorarius sp.,未识别的贼鸥,
 ,,,
CHARADRIIFORMES: Alcidae,,,
,,,
Rhinoceros Auklet,Cerorhinca monocerata,角嘴海雀,
Least Auklet,Aethia pusilla,小海雀,
Long-billed Murrelet,Brachyramphus perdix,斑海雀,仅在当地繁育的 近危
Spectacled Guillemot,Cepphus carbo,白眶海鸽,
Common Murre,Uria aalge,崖海鸦,
Thick-billed/Common Murre,Uria lomvia/aalge,,
Ancient Murrelet,Synthliboramphus antiquus,扁嘴海雀,
Japanese Murrelet,Synthliboramphus wumizusume,冠海雀,仅在当地繁育的 易危
murrelet sp.,Brachyramphus/Synthliboramphus sp.,,
 ,,,
CHARADRIIFORMES: Laridae,,,
,,,
Little Gull,Hydrocoloeus minutus,小鸥,稀见/偶见
Ross's Gull,Rhodostethia rosea,楔尾鸥,稀见/偶见
Black-legged Kittiwake,Rissa tridactyla,三趾鸥,易危
Black-legged Kittiwake (Pacific),Rissa tridactyla pollicaris,三趾鸥（太平洋）,
Saunders's Gull,Saundersilarus saundersi,黑嘴鸥,易危
Bonaparte's Gull,Chroicocephalus philadelphia,博氏鸥,稀见/偶见
Black-headed Gull,Chroicocephalus ridibundus,红嘴鸥,
Brown-headed Gull,Chroicocephalus brunnicephalus,棕头鸥,稀见/偶见
Laughing Gull,Leucophaeus atricilla,笑鸥,稀见/偶见
Franklin's Gull,Leucophaeus pipixcan,弗氏鸥,稀见/偶见
Black-tailed Gull,Larus crassirostris,黑尾鸥,
Common Gull,Larus canus,海鸥,
Common Gull (Kamchatka),Larus canus kamtschatschensis,海鸥（堪察加）,
Common/Short-billed Gull,Larus canus/brachyrhynchus,,
American Herring Gull,Larus smithsonianus,美洲银鸥,
Vega Gull,Larus vegae,西伯利亚银鸥,
Mongolian Gull,Larus mongolicus,蒙古银鸥,稀见/偶见
Vega/Mongolian Gull,Larus vegae/mongolicus,,
Caspian/Yellow-legged Gull,Larus cachinnans/michahellis,黄腿银鸥/黄脚银鸥,稀见/偶见
Caspian/Yellow-legged/Armenian Gull,Larus cachinnans/michahellis/armenicus,黄腿银鸥/黄脚银鸥/亚美尼亚鸥,稀见/偶见
Glaucous Gull,Larus hyperboreus,北极鸥,
Lesser Black-backed Gull,Larus fuscus,小黑背银鸥,稀见/偶见
Lesser Black-backed Gull (Heuglin's),Larus fuscus heuglini,小黑背银鸥（乌灰银鸥）,稀见/偶见
Lesser Black-backed Gull (taimyrensis),Larus fuscus taimyrensis,小黑背银鸥（泰梅尔）,稀见/偶见
Glaucous-winged Gull,Larus glaucescens,灰翅鸥,
Glaucous x Glaucous-winged Gull (hybrid),Larus hyperboreus x glaucescens,,稀见/偶见
Slaty-backed Gull,Larus schistisagus,灰背鸥,
Larus sp.,Larus sp.,未识别的Larus属大型鸥类,
gull sp.,Larinae sp.,未识别的鸥类,
White Tern,Gygis alba,白燕鸥（白玄鸥）,稀见/偶见
White Tern (Pacific),Gygis alba candida/leucopes,白燕鸥（印度洋至太平洋，蓝嘴基）,稀见/偶见
Brown Noddy,Anous stolidus,白顶玄燕鸥,
Black Noddy,Anous minutus,玄燕鸥,稀见/偶见
Black Noddy (melanogenys),Anous minutus melanogenys,玄燕鸥 (melanogenys),稀见/偶见
Black Noddy (minutus Group),Anous minutus [minutus Group],玄燕鸥 [minutus Group],稀见/偶见
Lesser/Black Noddy,Anous tenuirostris/minutus,,稀见/偶见
Aleutian Tern,Onychoprion aleuticus,白腰燕鸥,稀见/偶见 易危
Sooty Tern,Onychoprion fuscatus,乌燕鸥,
Bridled Tern,Onychoprion anaethetus,褐翅燕鸥,
Little Tern,Sternula albifrons,白额燕鸥,
Little/Least Tern,Sternula albifrons/antillarum,白额燕鸥/小白额燕鸥,
Gull-billed Tern,Gelochelidon nilotica,鸥嘴噪鸥,稀见/偶见
Gull-billed/Australian Tern,Gelochelidon nilotica/macrotarsa,,稀见/偶见
Caspian Tern,Hydroprogne caspia,红嘴巨鸥,稀见/偶见
Whiskered Tern,Chlidonias hybrida,须浮鸥,
Black Tern,Chlidonias niger,黑浮鸥,稀见/偶见
Black Tern (Eurasian),Chlidonias niger niger,黑浮鸥（欧亚）,稀见/偶见
White-winged Tern,Chlidonias leucopterus,白翅浮鸥,
Chlidonias sp.,Chlidonias sp.,未识别的浮鸥,
Common Tern,Sterna hirundo,普通燕鸥,
Common Tern (longipennis),Sterna hirundo longipennis,普通燕鸥（黑嘴）,
Common/Arctic Tern,Sterna hirundo/paradisaea,,
Black-naped Tern,Sterna sumatrana,黑枕燕鸥,
Roseate Tern,Sterna dougallii,粉红燕鸥,
Sterna sp.,Sterna sp.,未识别的Sterna属燕鸥,
Great Crested Tern,Thalasseus bergii,大凤头燕鸥,
tern sp.,Sterninae sp.,未识别的燕鸥类,
gull/tern sp.,Laridae sp.,未识别的鸥和燕鸥类,
 ,,,
PODICIPEDIFORMES: Podicipedidae,,,
,,,
Little Grebe,Tachybaptus ruficollis,小䴙䴘,
Little Grebe (Little),Tachybaptus ruficollis [ruficollis Group],小䴙䴘（广布）,
Horned Grebe,Podiceps auritus,角䴙䴘,易危
Red-necked Grebe,Podiceps grisegena,赤颈䴙䴘,
Great Crested Grebe,Podiceps cristatus,凤头䴙䴘,
Eared Grebe,Podiceps nigricollis,黑颈䴙䴘,
grebe sp.,Podicipedidae sp.,未识别的䴙䴘类,
 ,,,
PHAETHONTIFORMES: Phaethontidae,,,
,,,
White-tailed Tropicbird,Phaethon lepturus,白尾鹲,稀见/偶见
White-tailed Tropicbird (Pacific),Phaethon lepturus dorotheae,白尾鹲（太平洋）,稀见/偶见
Red-tailed Tropicbird,Phaethon rubricauda,红尾鹲,
tropicbird sp.,Phaethon sp.,未识别的鹲,
 ,,,
GAVIIFORMES: Gaviidae,,,
,,,
Red-throated Loon,Gavia stellata,红喉潜鸟,
Arctic Loon,Gavia arctica,黑喉潜鸟,
Pacific Loon,Gavia pacifica,太平洋潜鸟,
Arctic/Pacific Loon,Gavia arctica/pacifica,黑喉潜鸟/太平洋潜鸟,
Yellow-billed Loon,Gavia adamsii,黄嘴潜鸟,近危
loon sp.,Gavia sp.,未识别的潜鸟,
 ,,,
PROCELLARIIFORMES: Diomedeidae,,,
,,,
Laysan Albatross,Phoebastria immutabilis,黑背信天翁,近危
Black-footed Albatross,Phoebastria nigripes,黑脚信天翁,近危
